Tracing TCP established connections. Ctrl-C to end.
T  PID    COMM             IP SADDR            DADDR            SPORT  DPORT 
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        39442  10259 
A  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  39442 
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        39442  10259 
X  2266187 kube-scheduler   4  127.0.0.1        127.0.0.1        10259  39442 
C  2268664 coredns          4  127.0.0.1        127.0.0.1        54438  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54438 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        54438  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54438 
C  2265812 kubelet          4  172.17.0.1       172.17.0.8       50748  19669 
A  2264238 IOThreadPool0    4  172.17.0.8       172.17.0.1       19669  50748 
X  2264238 HTTPSrvExec0     4  172.17.0.8       172.17.0.1       19669  50748 
X  2265812 kubelet          4  172.17.0.1       172.17.0.8       50748  19669 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     38550  8000  
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     37206  8443  
A  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   37206 
X  2265812 kubelet          4  192.168.49.2     192.168.49.2     37206  8443  
X  2266194 kube-apiserver   6  [::ffff:192.168.49.2] [::ffff:192.168.49.2] 8443   37206 
C  2265812 kubelet          4  172.17.0.1       172.17.0.12      56020  19779 
A  2264938 IOThreadPool0    4  172.17.0.12      172.17.0.1       19779  56020 
X  2264938 HTTPSrvExec1     4  172.17.0.12      172.17.0.1       19779  56020 
X  2265812 kubelet          4  172.17.0.1       172.17.0.12      56020  19779 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     34640  80    
C  2268664 coredns          4  127.0.0.1        127.0.0.1        54448  8080  
A  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54448 
X  2268664 coredns          4  127.0.0.1        127.0.0.1        54448  8080  
X  2268664 coredns          6  [::ffff:127.0.0.1] [::ffff:127.0.0.1] 8080   54448 
C  2265812 kubelet          4  127.0.0.1        127.0.0.1        42010  10257 
A  2266207 kube-controller  4  127.0.0.1        127.0.0.1        10257  42010 
X  2262952 prometheus       4  172.17.0.15      192.168.49.2     38556  8000  
X  2265812 kubelet          4  127.0.0.1        127.0.0.1        42010  10257 
X  2266207 kube-controller  4  127.0.0.1        127.0.0.1        10257  42010 
C  2265812 kubelet          4  192.168.49.2     192.168.49.2     37220  8443  
